Distancia,wide,low,wide-low,low-wide
1.5,0.006917308982722043,0.0003813114575777378,0.0017489026766921573,0.0011182493938086068
2.0,0.003836193496345975,0.0002781373915210225,0.001322898307709317,0.0006813940922725087
2.5,0.002717274272842042,0.00023009254281648167,0.0011422937804096203,0.00048760832693886644
3.3,0.0019102406270219232,0.00020482152992133917,0.0010849095546876268,0.00036350283156384836
4.3,0.0014262513553832848,0.00017682196841299652,0.0010247416969262988,0.0002467087734366963
5.6,0.0011289025152212263,0.00015336773277861227,0.0009264047873093632,0.0001748279384634478
7.2,0.0007867423862882898,0.00015352819732347144,0.0009737270085637917,0.0001235673280101376
9.4,0.0007054865860459062,0.00013966991737014158,0.000965895778400141,0.00011241040284462718
12.0,0.0005803016832668378,0.000128740100179501,0.0008915499663337012,0.0001242579567240144
15.5,0.000459435324065895,0.00011962991413505474,0.0008284623673679188,9.994767590956359e-05
20.0,0.00038414507662736533,0.0001298829688217585,0.0008994662391830557,8.351271831327862e-05
26.0,0.000333928066721585,0.00010935426111675128,0.0007573006154721664,7.143776019293482e-05
